service,metric,target,measurement_window
PaymentGW,availability,99.95,monthly
PaymentGW,latency_p99_ms,200,rolling_5min
PaymentGW,error_rate_percent,0.1,rolling_5min
OrderSvc,availability,99.9,monthly
OrderSvc,latency_p99_ms,500,rolling_5min
OrderSvc,error_rate_percent,0.5,rolling_5min
AuthSvc,availability,99.99,monthly
AuthSvc,latency_p99_ms,100,rolling_5min
AuthSvc,error_rate_percent,0.01,rolling_5min
NotificationSvc,availability,99.5,monthly
NotificationSvc,latency_p99_ms,2000,rolling_5min
NotificationSvc,error_rate_percent,1.0,rolling_5min
ReportingSvc,availability,99.0,monthly
ReportingSvc,latency_p99_ms,5000,rolling_5min
ReportingSvc,error_rate_percent,2.0,rolling_5min
FraudDetector,availability,99.95,monthly
FraudDetector,latency_p99_ms,150,rolling_5min
FraudDetector,error_rate_percent,0.05,rolling_5min
